DateTime,SPD10,DIR10,SLP,T2,RH2
2018-03-15-10:00:00,4.53,68,1022.9,283.95,9
2018-03-15-11:00:00,6.26,148,1023.5,282.45,25
2018-03-15-12:00:00,5.63,147,1025.3,281.15,26
2018-03-15-13:00:00,5.19,141,1026.8,280.35,25
2018-03-15-14:00:00,6.23,172,1027.9,278.95,31
2018-03-15-15:00:00,5.43,168,1028.5,277.75,35
2018-03-15-16:00:00,5.25,168,1029.1,276.55,43
2018-03-15-17:00:00,4.99,168,1029.3,275.55,50
2018-03-15-18:00:00,3.82,180,1029.4,275.65,47
2018-03-15-19:00:00,3.15,164,1029.1,274.85,53
2018-03-15-20:00:00,2.99,172,1029.3,273.45,59
2018-03-15-21:00:00,2.86,161,1029.2,273.75,56
2018-03-15-22:00:00,2.03,120,1029.6,272.95,60
2018-03-15-23:00:00,1.73,91,1030.1,272.35,65
2018-03-16-00:00:00,2.37,155,1030.2,275.65,51
2018-03-16-01:00:00,1.76,166,1030.7,277.15,45
2018-03-16-02:00:00,4.42,184,1030.5,278.15,37
2018-03-16-03:00:00,2.87,199,1029.7,279.65,33
2018-03-16-04:00:00,3.72,161,1028.2,280.25,30
2018-03-16-05:00:00,3.19,174,1026.9,281.25,29
2018-03-16-06:00:00,4.39,174,1025.4,281.75,27
2018-03-16-07:00:00,5.13,194,1024.3,282.55,25
2018-03-16-08:00:00,5.62,191,1023.8,282.35,24
2018-03-16-09:00:00,6.14,182,1023.3,282.55,24
2018-03-16-10:00:00,5.15,190,1023,281.85,26
2018-03-16-11:00:00,4.79,187,1023.3,281.25,27
2018-03-16-12:00:00,4.42,181,1023.7,280.25,30
2018-03-16-13:00:00,5.3,167,1023.8,280.05,31
2018-03-16-14:00:00,6.46,144,1024,279.55,33
2018-03-16-15:00:00,6.2,165,1024,277.65,35
2018-03-16-16:00:00,3.84,161,1023.8,276.85,35
2018-03-16-17:00:00,4.54,151,1023.1,277.15,34
2018-03-16-18:00:00,3.02,109,1023.1,275.75,41
2018-03-16-19:00:00,2.51,110,1022.1,274.95,47
2018-03-16-20:00:00,2.29,81,1021.6,274.95,46
2018-03-16-21:00:00,2.46,108,1021.4,275.45,42
2018-03-16-22:00:00,2.14,67,1021.4,275.15,47
2018-03-16-23:00:00,2.15,76,1021.5,275.25,47
2018-03-17-00:00:00,2.69,107,1021.9,275.45,45
2018-03-17-01:00:00,1.73,92,1022.8,274.95,58
2018-03-17-02:00:00,2.49,52,1023.2,273.95,80
2018-03-17-03:00:00,2.33,62,1022.7,273.35,92
2018-03-17-04:00:00,2.83,68,1022,273.85,89
2018-03-17-05:00:00,2.04,88,1021.3,273.35,94
2018-03-17-06:00:00,2.46,93,1020.7,273.75,95
2018-03-17-07:00:00,1.91,76,1020.4,274.05,92
2018-03-17-08:00:00,-9999,-9999,1020.1,274.35,88
2018-03-17-09:00:00,2.19,96,1019.8,274.45,89
2018-03-17-10:00:00,2.54,131,1020.1,274.75,89
2018-03-17-11:00:00,2.73,118,1020.1,274.65,89
2018-03-17-12:00:00,2.34,170,1020.6,274.75,90
2018-03-17-13:00:00,1.26,202,1021,274.95,89
2018-03-17-14:00:00,1.72,62,1020.9,274.75,92
2018-03-17-15:00:00,1.29,86,1020.7,274.75,91
2018-03-17-16:00:00,1.58,103,1020.6,274.75,92
2018-03-17-17:00:00,0.89,92,1020.3,274.85,92
2018-03-17-18:00:00,0.98,15,1020.3,274.85,91
2018-03-17-19:00:00,1.82,345,1019.5,274.55,89
2018-03-17-20:00:00,1.85,309,1019.2,274.25,90
2018-03-17-21:00:00,1.74,358,1019.4,273.35,89
2018-03-17-22:00:00,1.96,343,1019.8,272.75,92
2018-03-17-23:00:00,1.7,3,1019.6,272.75,94
2018-03-18-00:00:00,2,303,1019.9,274.85,92
2018-03-18-01:00:00,2.37,305,1020.4,276.75,80
2018-03-18-02:00:00,2.08,25,1020.5,278.15,70
2018-03-18-03:00:00,1.44,81,1020.3,279.55,61
2018-03-18-04:00:00,1.47,133,1019.7,281.45,55
2018-03-18-05:00:00,1.25,225,1018.6,283.35,46
2018-03-18-06:00:00,2.11,87,1017.3,283.65,43
2018-03-18-07:00:00,2.41,189,1016.7,284.55,40
2018-03-18-08:00:00,2.75,146,1016.4,285.15,37
2018-03-18-09:00:00,3.41,168,1016.3,285.25,35
2018-03-18-10:00:00,3.37,156,1017,284.45,40
2018-03-18-11:00:00,4.34,137,1017.7,283.25,46
2018-03-18-12:00:00,4.01,176,1018.4,281.45,54
2018-03-18-13:00:00,3.73,151,1018.8,281.15,61
2018-03-18-14:00:00,3.89,163,1019.3,280.25,68
2018-03-18-15:00:00,1.45,158,1019.5,279.05,73
2018-03-18-16:00:00,1.38,45,1019.4,277.45,79
2018-03-18-17:00:00,1.08,55,1019.5,276.85,80
2018-03-18-18:00:00,1.03,334,1019.3,277.45,79
2018-03-18-19:00:00,2.78,343,1019.1,275.55,85
2018-03-18-20:00:00,3.01,308,1019,277.05,78
2018-03-18-21:00:00,1.59,336,1019.7,275.85,77
2018-03-18-22:00:00,2.72,353,1020.1,276.35,75
2018-03-18-23:00:00,1.21,338,1021,276.85,75
2018-03-19-00:00:00,2.24,301,1022.1,279.75,64
2018-03-19-01:00:00,2.22,328,1022.8,281.65,50
2018-03-19-02:00:00,3.85,49,1022.5,284.35,29
2018-03-19-03:00:00,7.67,39,1022.5,286.05,21
2018-03-19-04:00:00,2.91,76,1022.5,286.25,26
2018-03-19-05:00:00,4.04,116,1021.6,286.75,24
2018-03-19-06:00:00,3.14,128,1020.8,287.35,25
2018-03-19-07:00:00,4.13,141,1020.1,287.65,23
2018-03-19-08:00:00,2.67,175,1019.9,288.25,22
2018-03-19-09:00:00,3.94,163,1019.9,287.95,21
2018-03-19-10:00:00,6.35,152,1020.7,286.55,20
2018-03-19-11:00:00,5.17,136,1021.5,285.35,20
2018-03-19-12:00:00,3.21,122,1022.3,284.25,22
2018-03-19-13:00:00,2.6,125,1023.1,283.25,24
2018-03-19-14:00:00,4.71,115,1023.8,282.75,21
2018-03-19-15:00:00,4.86,113,1024.5,281.85,19
2018-03-19-16:00:00,2.76,127,1025.2,281.35,19
2018-03-19-17:00:00,2.51,169,1025.7,279.95,30
2018-03-19-18:00:00,2.71,173,1025.8,279.85,33
2018-03-19-19:00:00,1.81,5,1025.7,278.25,33
2018-03-19-20:00:00,3.9,53,1025.3,279.05,18
2018-03-19-21:00:00,4.9,35,1025.5,278.75,16
2018-03-19-22:00:00,6.22,28,1025.9,278.35,15
2018-03-19-23:00:00,5.61,36,1026.7,278.55,14
2018-03-20-00:00:00,5.8,38,1027.1,279.15,12
2018-03-20-01:00:00,6.07,37,1027.5,280.75,10
2018-03-20-02:00:00,3.16,46,1027.4,281.75,10
2018-03-20-03:00:00,2.39,20,1026.8,282.45,10
2018-03-20-04:00:00,3.04,32,1025.8,283.15,10
2018-03-20-05:00:00,2.33,11,1024.8,284.05,10
2018-03-20-06:00:00,2.08,114,1023.8,283.95,10
2018-03-20-07:00:00,2.82,181,1022.9,284.15,10
