DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-13-13:00:00,1.68000,89.00000,1005.10000,286.45000,36.00000,271.75000
2018-03-13-14:00:00,1.19000,39.00000,1005.30000,283.95000,43.00000,271.91000
2018-03-13-15:00:00,0.30000,232.00000,1005.40000,284.95000,44.00000,273.14000
2018-03-13-16:00:00,0.60000,28.00000,1005.70000,282.65000,48.00000,272.21000
2018-03-13-17:00:00,0.44000,49.00000,1006.10000,283.65000,49.00000,273.43000
2018-03-13-18:00:00,4.03000,108.00000,1006.70000,283.55000,63.00000,276.85000
2018-03-13-19:00:00,1.78000,142.00000,1006.00000,283.15000,68.00000,277.55000
2018-03-13-20:00:00,1.22000,126.00000,1005.50000,282.45000,72.00000,277.69000
2018-03-13-21:00:00,1.79000,279.00000,1005.50000,282.55000,73.00000,277.98000
2018-03-13-22:00:00,2.08000,173.00000,1005.60000,283.15000,71.00000,278.16000
2018-03-13-23:00:00,1.07000,103.00000,1006.10000,282.05000,73.00000,277.50000
2018-03-14-00:00:00,2.56000,125.00000,1006.30000,282.35000,71.00000,277.39000
2018-03-14-01:00:00,1.29000,104.00000,1006.50000,282.95000,69.00000,277.56000
